Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Assay Name	Comment [Fluorescent Labels]	Comment [Fluorescent Label Reference DOIs]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
08B96BE794	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.020	membranes	08B96BE794_8bit_lynEGFP_seg.tif	./08B96BE794/08B96BE794_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
0B51F8B46C	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.021	membranes	0B51F8B46C_8bit_lynEGFP_seg.tif	./0B51F8B46C/0B51F8B46C_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
0E48AB134C	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.022	membranes	0E48AB134C_8bit_lynEGFP_seg.tif	./0E48AB134C/0E48AB134C_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
1C43D83E9A	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.023	membranes	1C43D83E9A_8bit_lynEGFP_seg.tif	./1C43D83E9A/1C43D83E9A_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
22DF2AE1A0	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.024	membranes	22DF2AE1A0_8bit_lynEGFP_seg.tif	./22DF2AE1A0/22DF2AE1A0_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
2902E38204	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.025	membranes	2902E38204_8bit_lynEGFP_seg.tif	./2902E38204/2902E38204_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
2B23352582	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.026	membranes	2B23352582_8bit_lynEGFP_seg.tif	./2B23352582/2B23352582_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
3612A6CEF5	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.027	membranes	3612A6CEF5_8bit_lynEGFP_seg.tif	./3612A6CEF5/3612A6CEF5_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
4DC24FC301	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.028	membranes	4DC24FC301_8bit_lynEGFP_seg.tif	./4DC24FC301/4DC24FC301_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
673A65D087	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.029	membranes	673A65D087_8bit_lynEGFP_seg.tif	./673A65D087/673A65D087_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
6F18162F4C	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.030	membranes	6F18162F4C_8bit_lynEGFP_seg.tif	./6F18162F4C/6F18162F4C_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
8713481504	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.031	membranes	8713481504_8bit_lynEGFP_seg.tif	./8713481504/8713481504_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
8C633380D2	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.032	membranes	8C633380D2_8bit_lynEGFP_seg.tif	./8C633380D2/8C633380D2_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
8C83D4387F	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.033	membranes	8C83D4387F_8bit_lynEGFP_seg.tif	./8C83D4387F/8C83D4387F_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
8CA33561B5	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.034	membranes	8CA33561B5_8bit_lynEGFP_seg.tif	./8CA33561B5/8CA33561B5_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
AB98466077	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.035	membranes	AB98466077_8bit_lynEGFP_seg.tif	./AB98466077/AB98466077_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
B95A4F6D95	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.036	membranes	B95A4F6D95_8bit_lynEGFP_seg.tif	./B95A4F6D95/B95A4F6D95_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
C95F528559	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.037	membranes	C95F528559_8bit_lynEGFP_seg.tif	./C95F528559/C95F528559_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
CB87D7CBC9	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.038	membranes	CB87D7CBC9_8bit_lynEGFP_seg.tif	./CB87D7CBC9/CB87D7CBC9_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
E013272A99	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.039	membranes	E013272A99_8bit_lynEGFP_seg.tif	./E013272A99/E013272A99_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
E6E56C3F42	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.040	membranes	E6E56C3F42_8bit_lynEGFP_seg.tif	./E6E56C3F42/E6E56C3F42_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
EC77708A51	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.041	membranes	EC77708A51_8bit_lynEGFP_seg.tif	./EC77708A51/EC77708A51_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
FC90367714	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.042	membranes	FC90367714_8bit_lynEGFP_seg.tif	./FC90367714/FC90367714_8bit_lynEGFP_seg.tif	derived	seg,single-cell segmentation	data analysis protocol	idr0079-experimentA-processed.txt
03887B26C1	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12635"	membranes_nuclei	"03887B26C1_8bit_lynEGFP.tif; 03887B26C1_8bit_NLStdTomato.tif"	"./03887B26C1/03887B26C1_8bit_lynEGFP.tif; ./03887B26C1/03887B26C1_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
15999C80F3	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12636"	membranes_nuclei	"15999C80F3_8bit_lynEGFP.tif; 15999C80F3_8bit_NLStdTomato.tif"	"./15999C80F3/15999C80F3_8bit_lynEGFP.tif; ./15999C80F3/15999C80F3_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
3BD50B1F34	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12637"	membranes_nuclei	"3BD50B1F34_8bit_lynEGFP.tif; 3BD50B1F34_8bit_NLStdTomato.tif"	"./3BD50B1F34/3BD50B1F34_8bit_lynEGFP.tif; ./3BD50B1F34/3BD50B1F34_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
492B944A71	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12638"	membranes_nuclei	"492B944A71_8bit_lynEGFP.tif; 492B944A71_8bit_NLStdTomato.tif"	"./492B944A71/492B944A71_8bit_lynEGFP.tif; ./492B944A71/492B944A71_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
4A644B6C69	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12639"	membranes_nuclei	"4A644B6C69_8bit_lynEGFP.tif; 4A644B6C69_8bit_NLStdTomato.tif"	"./4A644B6C69/4A644B6C69_8bit_lynEGFP.tif; ./4A644B6C69/4A644B6C69_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
4BDFE7B8D2	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12640"	membranes_nuclei	"4BDFE7B8D2_8bit_lynEGFP.tif; 4BDFE7B8D2_8bit_NLStdTomato.tif"	"./4BDFE7B8D2/4BDFE7B8D2_8bit_lynEGFP.tif; ./4BDFE7B8D2/4BDFE7B8D2_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
4C059E69BC	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12641"	membranes_nuclei	"4C059E69BC_8bit_lynEGFP.tif; 4C059E69BC_8bit_NLStdTomato.tif"	"./4C059E69BC/4C059E69BC_8bit_lynEGFP.tif; ./4C059E69BC/4C059E69BC_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
77135D126D	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12642"	membranes_nuclei	"77135D126D_8bit_lynEGFP.tif; 77135D126D_8bit_NLStdTomato.tif"	"./77135D126D/77135D126D_8bit_lynEGFP.tif; ./77135D126D/77135D126D_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
7ADFA42907	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12643"	membranes_nuclei	"7ADFA42907_8bit_lynEGFP.tif; 7ADFA42907_8bit_NLStdTomato.tif"	"./7ADFA42907/7ADFA42907_8bit_lynEGFP.tif; ./7ADFA42907/7ADFA42907_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
8179A86D76	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12644"	membranes_nuclei	"8179A86D76_8bit_lynEGFP.tif; 8179A86D76_8bit_NLStdTomato.tif"	"./8179A86D76/8179A86D76_8bit_lynEGFP.tif; ./8179A86D76/8179A86D76_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
9CB73DC13A	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12645"	membranes_nuclei	"9CB73DC13A_8bit_lynEGFP.tif; 9CB73DC13A_8bit_NLStdTomato.tif"	"./9CB73DC13A/9CB73DC13A_8bit_lynEGFP.tif; ./9CB73DC13A/9CB73DC13A_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
A921B80A44	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12646"	membranes_nuclei	"A921B80A44_8bit_lynEGFP.tif; A921B80A44_8bit_NLStdTomato.tif"	"./A921B80A44/A921B80A44_8bit_lynEGFP.tif; ./A921B80A44/A921B80A44_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
B154DF856B	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	membranes_nuclei	"cldnB:lyn-EGFP; cxcr4b:NLS-tdTomato"	"10.1016/j.devcel.2006.02.019; 10.1038/nature12647"	membranes_nuclei	"B154DF856B_8bit_lynEGFP.tif; B154DF856B_8bit_NLStdTomato.tif"	"./B154DF856B/B154DF856B_8bit_lynEGFP.tif; ./B154DF856B/B154DF856B_8bit_NLStdTomato.tif"	"raw; raw"	"lynEGFP,cell membranes; NLStdTomato,nuclei"	data analysis protocol	idr0079-experimentA-processed.txt
